,时间,当前温度,上一次温度,模块内部时间,Suc
0,Cmode=1,47,47,Tm=09:00,0 
1,			 Cmode=1,49,47,Tm=09:01,0 
2,03-20 09:04:19.232,50,49,Tm=09:02,0 
3,			,52,50,Tm=09:04,0 
4,03-20 09:06:17.765,52,52,Tm=09:04,0 
5,03-20 09:07:07.877,53,52,Tm=09:05,0 
6,03-20 09:08:14.241,54,54,Tm=09:06,0 
7,03-20 09:09:04.261,55,54,Tm=09:07,0 
8,03-20 09:09:54.203,56,55,Tm=09:07,0 
9,			 0Cmode=7,57,56,Tm=09:08,0 
10,03-20 09:11:34.165,57,57,Tm=09:09,0 
11,			,58,57,Tm=09:10,0 
12,03-20 09:13:35.644,60,60,Tm=08:00,0 
13,03-20 09:14:25.642,61,60,Tm=08:00,0 
14,03-20 09:15:16.873,62,61,Tm=08:01,0 
15,03-20 09:16:07.324,61,62,Tm=08:02,0 
16,03-20 09:16:55.608,62,61,Tm=08:03,0 
17,Cmode=7,62,62,Tm=08:04,0 
18,Cmode=7,63,62,Tm=08:05,0 
19,			,63,63,Tm=08:05,0 
20,			,65,63,Tm=08:06,0 
21,03-20 09:21:05.615,65,65,Tm=08:07,0 
22,03-20 09:22:51.296 0Cmode=7,65,65,Tm=09:21,0 
23,03-20 09:23:44.565,65,65,Tm=09:22,0 
24,03-20 09:24:34.606 0Cmode=7,66,65,Tm=09:22,0 
25,03-20 09:25:24.618,67,66,Tm=09:23,0 
26,03-20 09:26:14.646,67,67,Tm=09:24,0 
27,03-20 09:27:05.344,68,67,Tm=09:25,0 
28,03-20 09:27:54.873,69,68,Tm=09:26,0 
29,03-20 09:29:03.745,69,69,Tm=08:00,0 
30,03-20 09:30:05.769,70,69,Tm=09:29,0 
31,03-20 09:31:05.828,71,70,Tm=09:30,0 
32,03-20 09:31:55.872,72,71,Tm=09:31,0 
33,			,72,72,Tm=09:32,0 
34,03-20 09:33:36.803,72,72,Tm=09:32,0 
35,03-20 09:34:25.910 1Cmode=7,73,72,Tm=09:33,0 
36,03-20 09:35:16.142,74,73,Tm=09:34,0 
37,			,74,74,Tm=08:00,0 
38,Cmode=7,72,74,Tm=08:00,0 
39,03-20 09:38:19.097,71,72,Tm=08:01,1 
40,			,72,71,Tm=08:02,0 
41,03-20 09:40:00.481,72,72,Tm=08:03,0 
42,03-20 09:40:49.106,73,72,Tm=08:04,0 
43,Cmode=7,75,73,Tm=08:05,0 
44,Cmode=7,73,75,Tm=08:05,0 
45,03-20 09:43:19.130,72,73,Tm=08:06,1 
46,03-20 09:44:09.127,72,72,Tm=08:07,0 
47,03-20 09:46:32.444,72,72,Tm=08:00,0 
48,			,72,72,Tm=08:00,0 
49,03-20 09:48:11.675 1Cmode=7,74,72,Tm=08:01,0 
50,			,74,74,Tm=08:02,0 
51,Cmode=7,73,74,Tm=08:03,0 
52,03-20 09:50:42.089,72,73,Tm=08:04,0 
53,03-20 09:51:31.712,72,72,Tm=08:05,0 
54,03-20 09:52:21.694,72,72,Tm=08:05,0 
55,03-20 09:53:11.708 1Cmode=7,72,72,Tm=08:06,0 
56,03-20 09:54:01.721,72,72,Tm=08:07,0 
57,03-20 09:55:51.076,72,72,Tm=08:00,0 
58,Cmode=7,72,72,Tm=08:00,0 
59,Cmode=7,72,72,Tm=08:01,0 
60,			,71,72,Tm=08:02,0 
61,			,71,71,Tm=08:03,0 
62,			,71,71,Tm=08:04,0 
63,03-20 10:00:52.373 1Cmode=7,72,71,Tm=08:05,0 
64,03-20 10:01:41.185,72,72,Tm=08:05,0 
65,Cmode=7,71,72,Tm=08:06,0 
66,03-20 10:03:23.364,71,71,Tm=10:02,0 
67,			 0Cmode=7,71,71,Tm=10:03,0 
68,03-20 10:05:17.580,71,71,Tm=10:04,0 
69,03-20 10:06:07.598,72,71,Tm=10:05,0 
70,			,72,72,Tm=10:06,0 
71,			 1Cmode=7,73,72,Tm=10:07,0 
72,03-20 10:08:37.981,73,73,Tm=10:07,0 
73,03-20 10:09:45.486,73,73,Tm=10:07,0 
74,03-20 10:10:37.051 1Cmode=7,72,73,Tm=10:08,0 
75,Cmode=7,71,72,Tm=10:09,0 
76,03-20 10:12:19.573,70,71,Tm=10:10,0 
77,03-20 10:13:09.781,69,70,Tm=10:11,0 
78,			 1Cmode=7,67,69,Tm=10:11,0 
79,			,67,67,Tm=10:13,0 
80,03-20 10:16:11.739,67,67,Tm=10:14,0 
81,			,67,67,Tm=10:14,0 
82,03-20 10:17:51.397,68,67,Tm=10:15,0 
83,03-20 10:18:41.414,69,68,Tm=10:16,0 
84,			,70,69,Tm=10:17,0 
85,03-20 10:21:41.045,72,71,Tm=10:20,0 
86,03-20 10:22:31.075,72,72,Tm=10:21,0 
87,03-20 10:23:21.089,72,72,Tm=10:22,0 
88,03-20 10:24:10.352,73,72,Tm=10:23,0 
89,			,73,73,Tm=10:23,0 
90,03-20 10:25:51.345,74,73,Tm=10:24,0 
91,03-20 10:26:58.207,74,74,Tm=10:24,0 
92,			,75,74,Tm=10:25,0 
93,03-20 10:27:36.490,74,75,Tm=10:26,0 
94,			,73,74,Tm=10:27,0 
95,03-20 10:29:15.332,73,73,Tm=10:28,0 
96,03-20 10:30:05.548,72,73,Tm=10:29,0 
97,03-20 10:31:11.178,71,71,Tm=10:30,0 
98,03-20 10:31:59.834,69,71,Tm=10:30,0 
99,03-20 10:32:50.924,69,69,Tm=10:31,1 
100,03-20 10:33:40.860,67,69,Tm=10:32,0 
101,03-20 10:34:29.890 0Cmode=7,66,67,Tm=10:33,1 
102,Cmode=7,64,66,Tm=10:34,0 
103,03-20 10:36:35.346,62,62,Tm=10:35,0 
104,			,60,62,Tm=10:36,0 
105,03-20 10:38:15.388,59,60,Tm=10:37,1 
106,03-20 10:39:04.653,57,59,Tm=10:37,0 
107,03-20 10:39:54.726,55,57,Tm=10:38,1 
108,Cmode=7,Suc=Done! ,,,
109,03-20 10:40:44.756,54,55,Tm=10:39,0 
110,03-20 10:41:58.810,53,53,Tm=10:40,0 
111,03-20 10:42:48.817,53,53,Tm=10:41,0 
112,03-20 10:43:38.829,54,53,Tm=10:42,0 
113,03-20 10:44:28.856,55,54,Tm=10:43,0 
114,			,56,55,Tm=10:44,0 
115,03-20 10:46:08.956,56,56,Tm=10:45,0 
116,03-20 10:47:22.232,59,59,Tm=10:46,0 
117,03-20 10:48:19.005,59,59,Tm=10:47,0 
118,			,61,59,Tm=10:47,0 
119,03-20 10:50:12.568,62,61,Tm=10:48,0 
120,03-20 10:51:09.319,63,62,Tm=10:49,0 
121,03-20 10:52:06.081,64,63,Tm=10:50,0 
122,03-20 10:53:04.540,65,65,Tm=10:52,0 
123,03-20 10:53:59.470,66,65,Tm=10:53,0 
124,03-20 10:54:51.935,67,66,Tm=10:53,0 
125,03-20 10:55:44.307,68,67,Tm=10:54,0 
126,03-20 10:56:36.773,69,68,Tm=10:55,0 
127,03-20 10:57:29.196,69,69,Tm=10:56,0 
128,03-20 10:58:20.552,70,69,Tm=10:57,0 
129,03-20 10:59:30.208,71,71,Tm=10:57,0 
130,03-20 11:23:50.335,71,71,Tm=11:23,0 
131,03-20 11:25:05.020,72,72,Tm=11:23,0 
132,03-20 11:26:00.618,72,72,Tm=11:24,0 
133,03-20 11:26:56.200,73,72,Tm=11:25,0 
134,03-20 11:27:48.893,74,73,Tm=11:26,0 
135,03-20 11:28:40.982,74,74,Tm=11:26,0 
136,03-20 11:29:33.093,73,74,Tm=11:27,0 
137,03-20 11:30:40.074,73,73,Tm=11:28,0 
138,03-20 11:31:32.263,72,73,Tm=11:29,0 
139,03-20 11:32:24.163,72,72,Tm=11:30,0 
140,03-20 11:33:15.074,70,72,Tm=11:31,0 
141,			,70,70,Tm=11:32,1 
142,03-20 11:34:56.796,69,70,Tm=11:32,0 
143,03-20 11:35:47.571,69,69,Tm=11:33,0 
144,03-20 11:36:38.525,67,69,Tm=11:34,0 
145,03-20 11:37:29.266,67,67,Tm=11:35,1 
146,03-20 11:38:19.768,65,67,Tm=11:36,0 
147,03-20 11:39:10.098,64,65,Tm=11:37,1 
148,03-20 11:40:00.585,62,64,Tm=11:37,0 
149,Cmode=7,Suc=8Deg_short! ,,,
150,03-20 11:40:50.920,60,62,Tm=11:38,1 
151,Cmode=7,Suc=8Deg_short! ,,,
152,03-20 11:41:41.327,59,60,Tm=11:39,1 
153,Cmode=7,Suc=8Deg_short! ,,,
154,03-20 11:42:31.719,59,59,Tm=11:40,0 
155,Cmode=7,Suc=8Deg_short! ,,,
156,03-20 11:43:21.968,59,59,Tm=11:41,0 
157,Cmode=7,Suc=8Deg_short! ,,,
158,03-20 11:44:12.206,60,59,Tm=11:42,0 
159,Cmode=7,Suc=8Deg_short! ,,,
160,03-20 11:45:02.444 0Cmode=7,60,60,Tm=11:42,0 
161,Cmode=7,Suc=8Deg_short! ,,,
162,03-20 11:46:13.581,62,62,Tm=11:44,0 
163,03-20 11:47:03.910,63,62,Tm=11:44,0 
164,03-20 11:47:54.044,65,63,Tm=11:45,0 
165,			,66,65,Tm=11:46,0 
166,03-20 11:49:34.414,67,66,Tm=11:47,0 
167,03-20 11:50:24.687,67,67,Tm=11:48,0 
168,03-20 11:51:14.798,69,67,Tm=11:49,0 
169,			,70,69,Tm=11:49,0 
170,03-20 11:52:55.186,71,70,Tm=11:50,0 
171,03-20 11:53:45.357,72,71,Tm=11:51,0 
172,03-20 11:54:35.531,72,72,Tm=11:52,0 
173,03-20 11:55:25.779,73,72,Tm=11:53,0 
174,03-20 11:56:15.884,73,73,Tm=11:54,0 
175,03-20 11:57:06.103,74,73,Tm=11:54,0 
176,03-20 11:57:56.190,73,74,Tm=11:55,0 
177,03-20 11:58:46.433,72,73,Tm=11:56,0 
178,03-20 11:59:36.546,72,72,Tm=11:57,0 
179,03-20 12:00:26.756,72,72,Tm=11:58,0 
180,03-20 12:01:42.910,72,72,Tm=11:59,0 
181,03-20 12:02:33.148,72,72,Tm=12:00,0 
182,03-20 12:03:23.227,72,72,Tm=12:01,0 
183,03-20 12:04:13.463,72,72,Tm=12:02,0 
184,03-20 12:05:03.535,71,72,Tm=12:02,0 
185,03-20 12:05:53.809,71,71,Tm=12:03,0 
186,			,70,71,Tm=12:04,0 
187,03-20 12:07:34.137,71,70,Tm=12:05,0 
188,03-20 12:08:24.214,70,71,Tm=12:06,0 
189,03-20 12:09:14.460 1Cmode=7,69,70,Tm=12:07,0 
190,03-20 12:10:04.532,68,69,Tm=12:07,0 
191,03-20 12:10:54.777,67,68,Tm=12:08,0 
192,03-20 12:11:44.846,66,67,Tm=12:09,0 
193,03-20 12:12:34.956,65,66,Tm=12:10,0 
194,03-20 12:13:24.238,63,65,Tm=12:11,0 
195,Cmode=7,Suc=8Deg_short! ,,,
196,03-20 12:14:13.670,61,63,Tm=12:12,1 
197,Cmode=7,Suc=8Deg_short! ,,,
198,03-20 12:15:02.949,59,61,Tm=12:12,1 
199,Cmode=7,Suc=8Deg_short! ,,,
200,03-20 12:15:52.383,57,59,Tm=12:13,1 
201,Cmode=7,Suc=8Deg_short! ,,,
202,03-20 12:16:41.663,57,57,Tm=12:14,1 
203,Cmode=7,Suc=8Deg_short! ,,,
204,03-20 12:17:31.186,57,57,Tm=12:15,0 
205,Cmode=7,Suc=8Deg_short! ,,,
206,03-20 12:18:20.978,57,57,Tm=12:16,0 
207,Cmode=7,Suc=8Deg_short! ,,,
208,03-20 12:19:10.930,59,57,Tm=12:17,0 
209,Cmode=7,Suc=8Deg_short! ,,,
210,			,60,59,Tm=12:17,0 
211,03-20 12:20:50.666,60,60,Tm=12:18,0 
212,03-20 12:21:40.444,61,60,Tm=12:19,0 
213,03-20 12:22:30.433,63,61,Tm=12:20,0 
214,03-20 12:23:20.466,64,63,Tm=12:21,0 
215,03-20 12:24:10.560,65,64,Tm=12:22,0 
216,03-20 12:25:00.525,66,65,Tm=12:22,0 
217,03-20 12:25:50.650,67,66,Tm=12:23,0 
218,			,67,67,Tm=12:24,0 
219,03-20 12:27:30.817,68,67,Tm=12:25,0 
220,03-20 12:28:20.859,69,68,Tm=12:26,0 
221,03-20 12:29:11.062,70,69,Tm=12:27,0 
222,03-20 12:30:00.859,72,70,Tm=12:27,0 
223,03-20 12:30:50.776,72,72,Tm=12:28,0 
224,03-20 12:31:40.536,73,72,Tm=12:29,0 
225,03-20 12:32:30.465,74,73,Tm=12:30,0 
226,03-20 12:33:20.262,74,74,Tm=12:31,0 
227,03-20 12:34:10.162,73,74,Tm=12:32,0 
228,03-20 12:35:00.039,72,73,Tm=12:32,0 
229,03-20 12:35:50.156,72,72,Tm=12:33,0 
230,03-20 12:36:40.081,72,72,Tm=12:34,0 
231,03-20 12:37:30.219,72,72,Tm=12:35,0 
232,03-20 12:38:20.131,71,72,Tm=12:36,0 
233,03-20 12:39:10.268,71,71,Tm=12:37,0 
234,03-20 12:40:00.225,71,71,Tm=12:37,0 
235,03-20 12:40:50.424,71,71,Tm=12:38,0 
236,03-20 12:41:40.407,71,71,Tm=12:39,0 
237,03-20 12:42:30.575,72,71,Tm=12:40,0 
238,03-20 12:43:20.580,73,72,Tm=12:41,0 
239,03-20 12:44:10.749,74,73,Tm=12:42,0 
240,03-20 12:45:00.770,74,74,Tm=12:42,0 
241,03-20 12:46:05.475,74,74,Tm=12:43,0 
242,03-20 12:46:55.402,73,74,Tm=12:44,0 
243,03-20 12:47:45.331,73,73,Tm=12:45,0 
244,03-20 12:48:35.102,72,73,Tm=12:46,0 
245,03-20 12:49:25.056,72,72,Tm=12:47,0 
246,03-20 12:50:14.792,72,72,Tm=12:48,0 
247,03-20 12:51:04.727,72,72,Tm=12:48,0 
248,03-20 12:51:54.551,72,72,Tm=12:49,0 
249,03-20 12:52:44.655,72,72,Tm=12:50,0 
250,03-20 12:53:34.572,72,72,Tm=12:51,0 
251,03-20 12:54:24.666,72,72,Tm=12:52,0 
252,03-20 12:55:14.598,72,72,Tm=12:53,0 
253,03-20 12:56:04.604,72,72,Tm=12:53,0 
254,03-20 12:56:54.660,72,72,Tm=12:54,0 
255,03-20 12:57:44.777,72,72,Tm=12:55,0 
256,03-20 12:58:34.752,72,72,Tm=12:56,0 
257,03-20 12:59:24.905,72,72,Tm=12:57,0 
258,03-20 13:00:14.886,72,72,Tm=12:58,0 
259,03-20 13:01:05.028,72,72,Tm=12:58,0 
260,03-20 13:01:55.025,72,72,Tm=12:59,0 
261,03-20 13:02:45.191,72,72,Tm=13:00,0 
262,03-20 13:03:35.188,72,72,Tm=13:01,0 
263,			,72,72,Tm=13:02,0 
264,Cmode=7,72,72,Tm=13:03,0 
265,03-20 13:06:05.180,72,72,Tm=13:03,0 
266,			,72,72,Tm=13:04,0 
267,03-20 13:07:45.077,72,72,Tm=13:05,0 
268,03-20 13:08:35.012,71,72,Tm=13:06,0 
269,03-20 13:09:25.051,72,71,Tm=13:07,0 
270,03-20 13:10:30.324,71,71,Tm=13:08,0 
271,03-20 13:11:20.445,71,71,Tm=13:09,0 
272,03-20 13:12:10.403,71,71,Tm=13:10,0 
273,03-20 13:13:00.519,72,71,Tm=13:10,0 
274,03-20 13:13:50.486,72,72,Tm=13:11,0 
275,03-20 13:14:40.638,73,72,Tm=13:12,0 
276,03-20 13:15:30.618,74,73,Tm=13:13,0 
277,03-20 13:16:20.768,74,74,Tm=13:14,0 
278,03-20 13:17:10.752,74,74,Tm=13:15,0 
279,03-20 13:18:00.905,73,74,Tm=13:15,0 
280,03-20 13:18:50.896,73,73,Tm=13:16,0 
281,03-20 13:19:41.061,73,73,Tm=13:17,0 
282,03-20 13:20:31.042,73,73,Tm=13:18,0 
283,03-20 13:21:21.061,73,73,Tm=13:19,0 
284,03-20 13:22:10.981,72,73,Tm=13:20,0 
285,03-20 13:23:00.926,72,72,Tm=13:20,0 
286,03-20 13:23:50.784,72,72,Tm=13:21,0 
287,03-20 13:24:40.795,72,72,Tm=13:22,0 
288,03-20 13:25:30.660,72,72,Tm=13:23,0 
289,03-20 13:26:20.752,72,72,Tm=13:24,0 
290,03-20 13:27:10.689,72,72,Tm=13:25,0 
291,03-20 13:28:00.787,72,72,Tm=13:25,0 
292,03-20 13:28:50.733,72,72,Tm=13:26,0 
293,03-20 13:29:40.829,72,72,Tm=13:27,0 
294,03-20 13:30:30.771,72,72,Tm=13:28,0 
295,03-20 13:31:20.905,72,72,Tm=13:29,0 
296,03-20 13:32:10.862,72,72,Tm=13:30,0 
297,03-20 13:33:00.996,72,72,Tm=13:30,0 
298,03-20 13:33:50.957,72,72,Tm=13:31,0 
299,03-20 13:34:41.098,72,72,Tm=13:32,0 
300,03-20 13:35:31.068,72,72,Tm=13:33,0 
301,03-20 13:36:21.239,72,72,Tm=13:34,0 
302,03-20 13:37:11.196,72,72,Tm=13:35,0 
303,03-20 13:38:01.279,72,72,Tm=13:35,0 
304,03-20 13:38:51.177,72,72,Tm=13:36,0 
305,03-20 13:39:41.144,72,72,Tm=13:37,0 
306,03-20 13:40:31.118,72,72,Tm=13:38,0 
307,03-20 13:41:21.171,72,72,Tm=13:39,0 
308,03-20 13:42:11.065,71,72,Tm=13:40,0 
309,03-20 13:43:01.139,71,71,Tm=13:40,0 
310,03-20 13:43:51.083,71,71,Tm=13:41,0 
311,03-20 13:44:41.193,72,71,Tm=13:42,0 
312,03-20 13:45:31.140,71,72,Tm=13:43,0 
313,03-20 13:46:21.251,71,71,Tm=13:44,0 
314,03-20 13:47:11.194,70,71,Tm=13:45,0 
315,03-20 13:48:01.312,69,70,Tm=13:45,0 
316,03-20 13:48:51.285,68,69,Tm=13:46,0 
317,03-20 13:49:41.390,67,68,Tm=13:47,0 
318,03-20 13:50:31.432,66,67,Tm=13:48,0 
319,03-20 13:51:21.557,65,66,Tm=13:49,0 
320,03-20 13:52:11.486,63,65,Tm=13:50,0 
321,Cmode=7,Suc=8Deg_short! ,,,
322,03-20 13:53:01.616,61,63,Tm=13:50,1 
323,Cmode=7,Suc=8Deg_short! ,,,
324,03-20 13:53:51.596,59,61,Tm=13:51,1 
325,Cmode=7,Suc=8Deg_short! ,,,
326,03-20 13:54:41.751,57,59,Tm=13:52,1 
327,Cmode=7,Suc=8Deg_short! ,,,
328,03-20 13:55:31.636,58,57,Tm=13:53,1 
329,Cmode=7,Suc=8Deg_short! ,,,
330,03-20 13:56:21.701,59,58,Tm=13:54,0 
331,Cmode=7,Suc=8Deg_short! ,,,
332,03-20 13:57:11.615,59,59,Tm=13:55,0 
333,Cmode=7,Suc=8Deg_short! ,,,
334,03-20 13:58:01.689,60,59,Tm=13:55,0 
335,Cmode=7,Suc=8Deg_short! ,,,
336,03-20 13:58:51.601,61,60,Tm=13:56,0 
337,03-20 13:59:41.593,62,61,Tm=13:57,0 
338,03-20 14:58:49.450,74,74,Tm=14:56,0 
339,03-20 15:42:34.963,61,61,Tm=15:40,0 
340,03-20 15:43:25.075,61,61,Tm=15:41,0 
341,03-20 15:44:15.012,62,61,Tm=15:42,0 
342,03-20 15:45:05.130,63,62,Tm=15:43,0 
343,03-20 15:45:55.074,64,63,Tm=15:43,0 
344,03-20 15:46:45.191,65,64,Tm=15:44,0 
345,03-20 15:47:35.133,66,65,Tm=15:45,0 
346,03-20 15:48:25.252,67,66,Tm=15:46,0 
347,03-20 15:49:15.200,68,67,Tm=15:47,0 
348,03-20 15:50:05.325,69,68,Tm=15:48,0 
349,03-20 15:50:55.273,70,69,Tm=15:48,0 
350,03-20 15:52:14.771,70,70,Tm=15:50,0 
351,03-20 15:53:04.636,70,70,Tm=15:51,0 
352,03-20 15:53:54.774,70,70,Tm=15:51,0 
353,03-20 15:54:44.762,70,70,Tm=15:52,0 
354,03-20 15:55:34.876,69,70,Tm=15:53,0 
355,03-20 15:56:24.838,69,69,Tm=15:54,0 
356,03-20 15:57:14.950,69,69,Tm=15:55,0 
357,03-20 15:58:04.917,69,69,Tm=15:56,0 
358,03-20 15:58:55.027,69,69,Tm=15:56,0 
359,03-20 15:59:44.986,69,69,Tm=15:57,0 
360,03-20 16:00:35.118,69,69,Tm=15:58,0 
361,			,68,69,Tm=15:59,0 
362,03-20 16:02:15.148,69,68,Tm=16:00,0 
363,03-20 16:03:05.135,68,69,Tm=16:01,0 
364,03-20 16:03:55.269,68,68,Tm=16:01,0 
365,03-20 16:04:45.220,68,68,Tm=16:02,0 
